                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.5276,                 3.8607,                  2.509,                0.28811,                0.21951,                0.17752,                0.06621,                 2.4144,                 4.2381,                 2.7681,              0.0093466,              0.0093466,              0.0093466
                     36,                  2.584,                  3.943,                 2.6052,                 0.3491,                0.26829,                0.22355,                0.10053,                  2.343,                 3.5276,                 2.6349,              0.0093268,              0.0093268,              0.0093268
                     37,                  2.576,                 4.1201,                 2.6814,                0.30789,                0.31707,                0.22445,                0.10338,                 2.3989,                 3.9663,                 2.9479,               0.009307,               0.009307,               0.009307
                     38,                 2.6565,                 4.0022,                 2.6268,                0.28043,                0.14634,                0.14016,                0.04674,                 2.3565,                 3.3508,                 2.8451,              0.0092872,              0.0092872,              0.0092872
                     39,                 2.5954,                 3.7908,                 2.5393,                 0.3114,                0.21951,                0.17363,                0.07989,                 2.3283,                 3.0804,                 2.6514,              0.0092674,              0.0092674,              0.0092674
                     40,                 2.5852,                 3.8331,                 2.5321,                0.28651,                0.19591,                0.13243,                0.06304,                 2.1986,                 2.9323,                 2.6147,              0.0092476,              0.0092476,              0.0092476
                     41,                 2.6192,                 3.5236,                  2.646,                 0.2201,                0.22029,                0.12225,                0.04281,                 2.2418,                 3.2501,                 2.7427,              0.0092278,              0.0092278,              0.0092278
                     42,                 2.6322,                 4.0209,                 2.6667,                0.14062,                0.26829,                0.12187,                0.03827,                 2.2215,                 3.2054,                 2.6266,               0.009208,               0.009208,               0.009208
                     43,                 2.6108,                 3.9075,                 2.6013,                0.61916,                0.26829,                0.31432,                0.11972,                 2.3524,                 2.8291,                 2.7719,              0.0091882,              0.0091882,              0.0091882
                     44,                 2.5779,                 3.8178,                 2.6563,                0.73515,                0.06882,                 0.1421,                0.04488,                 2.3711,                 3.3447,                 2.7304,              0.0091684,              0.0091684,              0.0091684
                     45,                 2.5977,                 3.7372,                 2.6343,                0.36538,                0.36585,                0.25482,                0.08592,                 2.2066,                 3.8455,                 2.6712,              0.0091486,              0.0091486,              0.0091486
                     46,                 2.5347,                   3.66,                 2.5739,                0.44253,                0.32934,                0.26466,                0.10869,                 2.2558,                 3.1984,                  2.638,              0.0091288,              0.0091288,              0.0091288
                     47,                 2.4112,                 3.6059,                 2.4465,                0.32247,                0.26829,                 0.2767,                0.09346,                 2.3213,                  5.371,                 2.7607,               0.009109,               0.009109,               0.009109
                     48,                 2.4377,                 3.6242,                 2.4915,                0.35397,                0.14634,                0.23939,                0.09665,                 2.3608,                 3.0943,                 2.6902,              0.0090892,              0.0090892,              0.0090892
                     49,                 2.3851,                 3.6273,                 2.4599,                0.40097,                0.31707,                0.32469,                0.13219,                 2.3186,                 2.6653,                 2.6197,              0.0090694,              0.0090694,              0.0090694
                     50,                 2.5247,                 3.5566,                 2.5167,                0.36586,                0.36585,                0.30431,                0.14361,                  2.162,                 2.6732,                 2.5852,              0.0090496,              0.0090496,              0.0090496
                     51,                 2.3764,                  3.669,                 2.4214,                0.42256,                0.17073,                0.28643,                 0.1299,                 2.0011,                 2.7487,                 2.5566,              0.0090298,              0.0090298,              0.0090298
                     52,                 2.3504,                 3.6024,                 2.3894,                0.25674,                0.19512,                0.25414,                0.09942,                  2.017,                 4.6617,                 2.6016,                0.00901,                0.00901,                0.00901
                     53,                 2.3624,                 3.6014,                  2.434,                0.29357,                0.31707,                0.23473,                 0.1169,                 2.1043,                 2.6216,                  2.528,              0.0089902,              0.0089902,              0.0089902
                     54,                 2.3899,                 3.4104,                  2.469,                 0.5961,                0.31707,                0.34467,                0.14669,                 2.0884,                  2.785,                 2.5586,              0.0089704,              0.0089704,              0.0089704
                     55,                 2.3012,                 3.4424,                   2.39,                0.74125,                0.14036,                0.30051,                 0.1249,                 2.1837,                 3.1632,                 2.5403,              0.0089506,              0.0089506,              0.0089506
                     56,                 2.3699,                 3.5783,                  2.424,                0.71455,                0.06279,                 0.2246,                0.10709,                 2.2306,                  3.259,                 2.6401,              0.0089308,              0.0089308,              0.0089308
                     57,                 2.5001,                 3.6444,                 2.4825,                0.32987,                 0.3483,                0.30482,                0.13088,                 2.4594,                   2.63,                 2.7096,               0.008911,               0.008911,               0.008911
                     58,                 2.4097,                 3.4254,                 2.3872,                0.64575,                 0.2439,                0.34664,                0.18533,                 2.2993,                 2.8176,                 2.7256,              0.0088912,              0.0088912,              0.0088912
                     59,                 2.4019,                 3.4179,                 2.4879,                0.40988,                0.36585,                0.35043,                0.13547,                 2.2825,                 2.5737,                 2.6702,              0.0088714,              0.0088714,              0.0088714
                     60,                 2.2909,                 3.3582,                 2.2789,                0.33221,                0.31707,                0.30751,                0.12313,                 2.2884,                 2.6152,                 2.6113,              0.0088516,              0.0088516,              0.0088516
                     61,                 2.3039,                 3.4442,                  2.367,                0.33214,                0.26829,                0.25357,                0.11457,                 2.0619,                  2.842,                 2.4983,              0.0088318,              0.0088318,              0.0088318
                     62,                 2.3697,                 3.3683,                 2.3504,                0.45097,                0.31707,                0.29626,                0.12775,                 2.1589,                 2.6277,                 2.4941,               0.008812,               0.008812,               0.008812
                     63,                 2.2829,                 3.3253,                 2.3254,                0.45756,                0.34146,                0.33629,                0.14354,                 2.1138,                 2.4985,                 2.5398,              0.0087922,              0.0087922,              0.0087922
                     64,                 2.2822,                 3.1089,                 2.3347,                0.23526,                0.41463,                0.29462,                0.13271,                 2.2155,                 2.6551,                 2.7095,              0.0087724,              0.0087724,              0.0087724
                     65,                 2.2038,                 3.1115,                 2.2765,                0.42134,                 0.2439,                 0.3113,                0.14996,                 2.2573,                 2.7792,                 2.6639,              0.0087526,              0.0087526,              0.0087526
                     66,                  2.246,                 3.3203,                 2.2678,                0.43487,                0.36585,                0.31133,                0.13465,                 2.1224,                 2.8841,                 2.4999,              0.0087328,              0.0087328,              0.0087328
                     67,                 2.2524,                 3.1262,                 2.2679,                0.46246,                0.36585,                 0.3458,                0.12809,                 2.0772,                 2.7619,                  2.569,               0.008713,               0.008713,               0.008713
                     68,                 2.2159,                  3.107,                 2.2879,                0.35792,                0.26829,                 0.3005,                0.15936,                 2.0901,                 2.5539,                 2.5123,              0.0086932,              0.0086932,              0.0086932
                     69,                 2.1033,                 3.0221,                 2.1905,                0.66607,                0.29268,                0.35872,                0.12716,                 2.1345,                 2.6061,                 2.4955,              0.0086734,              0.0086734,              0.0086734
                     70,                 2.3353,                 3.2663,                 2.3527,                0.39475,                0.34146,                0.37058,                0.20412,                 2.0203,                 2.7172,                 2.3808,              0.0086536,              0.0086536,              0.0086536
                     71,                  2.316,                 3.4379,                 2.2645,                0.45877,                0.36585,                0.40137,                 0.2003,                 2.0779,                 2.5727,                 2.4452,              0.0086338,              0.0086338,              0.0086338
                     72,                 2.2922,                 3.0529,                 2.3647,                0.87321,                0.31707,                0.40667,                0.19963,                 2.0519,                 3.3476,                 2.5399,               0.008614,               0.008614,               0.008614
                     73,                 2.1813,                 3.0968,                 2.3347,                0.39578,                0.20797,                0.31643,                0.15086,                 2.1304,                 2.8288,                 2.5461,              0.0085942,              0.0085942,              0.0085942
                     74,                   2.35,                 3.1822,                 2.3596,                0.40514,                0.36585,                0.37877,                0.18184,                 1.9487,                  2.466,                  2.444,              0.0085744,              0.0085744,              0.0085744
                     75,                 2.3417,                    3.4,                 2.3805,                0.38565,                0.26829,                0.30486,                0.11622,                 2.1533,                 2.6752,                 2.6041,              0.0085546,              0.0085546,              0.0085546
                     76,                 2.3937,                   3.14,                 2.3754,                0.52124,                 0.2439,                0.37702,                0.13986,                 2.2154,                 2.7196,                 2.5948,              0.0085348,              0.0085348,              0.0085348
                     77,                 2.1434,                 3.0139,                 2.2418,                0.63574,                0.29268,                0.42332,                0.20758,                  2.069,                 2.3657,                  2.461,               0.008515,               0.008515,               0.008515
                     78,                 2.1484,                  2.793,                 2.2584,                0.37076,                 0.5122,                0.35258,                0.13972,                 2.3102,                 2.5023,                   2.69,              0.0084952,              0.0084952,              0.0084952
                     79,                 2.1193,                 2.9943,                 2.2111,                0.69162,                0.34146,                0.45407,                0.19871,                 1.9153,                 2.3334,                 2.3672,              0.0084754,              0.0084754,              0.0084754
                     80,                 2.1049,                 2.9053,                 2.2384,                0.75401,                0.31707,                0.42024,                0.19724,                 2.0503,                 2.1946,                 2.4127,              0.0084556,              0.0084556,              0.0084556
                     81,                 2.1515,                 2.8994,                 2.2519,                0.83936,                0.34146,                0.48771,                0.21441,                 2.0664,                  2.421,                 2.4426,              0.0084358,              0.0084358,              0.0084358
                     82,                 2.2699,                 3.0169,                 2.3226,                0.49257,                0.34146,                0.40256,                0.15736,                 2.1358,                 4.0085,                 2.4603,               0.008416,               0.008416,               0.008416
                     83,                 2.1828,                 3.0322,                 2.2969,                0.53487,                0.29268,                0.37607,                 0.1892,                 2.1041,                 2.8497,                 2.4999,              0.0083962,              0.0083962,              0.0083962
                     84,                 2.1376,                 3.0141,                 2.1305,                0.48966,                 0.4878,                 0.4301,                0.22601,                  1.948,                 2.3002,                 2.3847,              0.0083764,              0.0083764,              0.0083764
                     85,                 2.1003,                 2.9655,                 2.1776,                0.50454,                0.39024,                0.43402,                0.22539,                 1.9281,                  2.869,                  2.381,              0.0083566,              0.0083566,              0.0083566
                     86,                 2.2332,                 3.0164,                 2.2495,                0.43039,                0.29268,                0.35855,                0.13842,                  2.241,                 2.5625,                 2.6985,              0.0083368,              0.0083368,              0.0083368
                     87,                 2.1104,                 2.9578,                 2.1492,                0.52371,                 0.5122,                0.46254,                0.22602,                 1.9675,                 2.2236,                 2.4244,               0.008317,               0.008317,               0.008317
                     88,                 2.0837,                 2.9107,                 2.1317,                0.52807,                0.43902,                0.48957,                0.23131,                 2.0451,                 2.4103,                 2.4073,              0.0082972,              0.0082972,              0.0082972
                     89,                  2.175,                 2.9725,                 2.1379,                0.55468,                0.45585,                0.47335,                0.24001,                 2.0475,                 2.6854,                  2.443,              0.0082774,              0.0082774,              0.0082774
                     90,                 1.9886,                 2.8034,                 2.1187,                 0.3732,                0.41463,                0.34369,                0.12285,                 2.1247,                 2.4596,                 2.4814,              0.0082576,              0.0082576,              0.0082576
                     91,                 1.9751,                 2.8649,                 2.0924,                0.59104,                0.46341,                0.51005,                 0.2198,                 2.1039,                 2.3457,                 2.3872,              0.0082378,              0.0082378,              0.0082378
                     92,                 2.0629,                 2.9971,                 2.1162,                0.40868,                0.53659,                0.43776,                0.21121,                 2.1602,                 2.2691,                  2.469,               0.008218,               0.008218,               0.008218
                     93,                  2.133,                 2.9456,                 2.1779,                 0.4657,                0.51026,                0.45653,                 0.2091,                 1.9632,                 2.1526,                 2.3511,              0.0081982,              0.0081982,              0.0081982
                     94,                 2.1073,                 2.7656,                 2.2118,                0.79326,                0.37463,                0.48817,                0.21556,                 1.9859,                  2.307,                 2.3503,              0.0081784,              0.0081784,              0.0081784
                     95,                 1.9369,                 2.7843,                 2.0149,                0.42108,                0.46341,                0.46769,                0.20304,                 2.1338,                 2.2829,                 2.4958,              0.0081586,              0.0081586,              0.0081586
                     96,                 2.0134,                 2.7028,                 2.0845,                0.60489,                0.36585,                 0.4128,                0.17401,                 2.0886,                 2.2683,                 2.4207,              0.0081388,              0.0081388,              0.0081388
                     97,                 2.0971,                 2.8085,                 2.2113,                0.39183,                0.56098,                0.47858,                0.20946,                 2.2348,                 2.3091,                 2.5654,               0.008119,               0.008119,               0.008119
                     98,                 2.0118,                 2.8503,                 2.0929,                0.43712,                0.43902,                0.45276,                0.18664,                 2.0885,                    3.1,                 2.3882,              0.0080992,              0.0080992,              0.0080992
                     99,                 2.0091,                 2.6429,                 2.1145,                0.41483,                 0.4878,                0.44591,                0.22913,                 1.9786,                 2.2479,                 2.3873,              0.0080794,              0.0080794,              0.0080794
                    100,                 1.9252,                 2.6895,                 2.0448,                0.45845,                0.53659,                0.46901,                0.19651,                 1.9425,                 2.0723,                 2.3713,              0.0080596,              0.0080596,              0.0080596
                    101,                 2.0103,                 2.7738,                 2.1254,                0.51215,                 0.4878,                0.40472,                0.15394,                 1.9544,                 2.3624,                 2.3384,              0.0080398,              0.0080398,              0.0080398
                    102,                 2.0215,                 2.8842,                 2.1206,                0.46045,                0.64535,                0.45046,                0.20657,                 2.1765,                 2.1279,                 2.4921,                0.00802,                0.00802,                0.00802
                    103,                 2.0699,                 2.7054,                 2.1423,                0.54406,                0.46341,                0.49063,                0.21548,                 2.0012,                 2.6834,                 2.5126,              0.0080002,              0.0080002,              0.0080002
                    104,                 2.1372,                  2.898,                 2.0651,                0.43994,                0.51738,                0.48656,                0.21067,                 2.1278,                 2.3001,                  2.452,              0.0079804,              0.0079804,              0.0079804
                    105,                 1.9788,                 2.6078,                 2.0581,                0.53361,                0.43902,                0.44225,                0.19116,                 2.1395,                 2.3969,                 2.4549,              0.0079606,              0.0079606,              0.0079606
                    106,                 2.0532,                 2.9656,                 2.1033,                0.51061,                0.56098,                0.52459,                0.24805,                 1.9138,                 2.1063,                 2.3183,              0.0079408,              0.0079408,              0.0079408
                    107,                 2.0046,                 2.7802,                 2.0769,                0.63945,                0.43902,                0.53383,                0.24097,                 1.8244,                 2.2408,                 2.1371,               0.007921,               0.007921,               0.007921
                    108,                 1.9238,                 2.5917,                 2.1102,                0.56242,                  0.533,                0.55587,                 0.2314,                 2.0666,                 2.2784,                  2.355,              0.0079012,              0.0079012,              0.0079012
                    109,                 1.9635,                 2.8016,                 1.9486,                0.49458,                0.54909,                0.49638,                0.22494,                 2.0059,                 2.1764,                 2.4169,              0.0078814,              0.0078814,              0.0078814
                    110,                 1.9552,                 2.8878,                 2.0688,                0.53773,                 0.5122,                0.50946,                0.22651,                 2.0652,                 2.0291,                 2.4308,              0.0078616,              0.0078616,              0.0078616
                    111,                  1.943,                 2.3639,                 2.0205,                 0.4593,                0.73171,                0.54499,                 0.2335,                 1.8902,                 2.3051,                 2.3161,              0.0078418,              0.0078418,              0.0078418
                    112,                 1.9773,                 2.8374,                 2.0303,                0.43519,                0.53659,                0.45008,                0.19103,                  1.854,                 2.1964,                 2.2507,               0.007822,               0.007822,               0.007822
                    113,                 1.9707,                 2.6336,                 2.0586,                0.62804,                 0.5122,                0.51018,                0.23587,                 2.0145,                  2.379,                 2.3401,              0.0078022,              0.0078022,              0.0078022
                    114,                 1.9723,                 2.6022,                 2.0644,                0.59799,                 0.4878,                0.55226,                0.22963,                 1.9313,                 2.3308,                 2.2708,              0.0077824,              0.0077824,              0.0077824
                    115,                 1.9166,                 2.7286,                 1.9581,                0.60099,                 0.5512,                0.52352,                0.22057,                 2.0395,                 2.2135,                 2.3756,              0.0077626,              0.0077626,              0.0077626
                    116,                 2.0316,                 2.8362,                 2.1225,                0.55143,                0.53976,                0.52725,                0.22567,                  1.996,                 2.2055,                 2.2731,              0.0077428,              0.0077428,              0.0077428
                    117,                 1.9388,                 2.5173,                 2.0195,                0.59871,                0.53659,                0.53853,                0.25838,                  1.879,                  2.005,                 2.1927,               0.007723,               0.007723,               0.007723
                    118,                 1.9633,                  2.626,                 2.0599,                0.62201,                0.68293,                 0.6248,                0.28835,                 1.8876,                 2.3308,                 2.1639,              0.0077032,              0.0077032,              0.0077032
                    119,                 1.8656,                 2.5584,                 1.9254,                0.52351,                0.56277,                 0.4729,                0.22161,                 1.9394,                 2.3374,                 2.3218,              0.0076834,              0.0076834,              0.0076834
                    120,                 1.8138,                 2.4902,                 1.9675,                0.48102,                0.60976,                0.51993,                0.23278,                 1.8774,                  2.286,                 2.2716,              0.0076636,              0.0076636,              0.0076636
                    121,                 1.9065,                 2.4742,                 2.0173,                0.60478,                 0.5122,                 0.5436,                 0.2641,                 1.9992,                 2.1346,                 2.2617,              0.0076438,              0.0076438,              0.0076438
                    122,                 1.9432,                 2.5243,                 2.0058,                0.57788,                0.60976,                0.56288,                0.24329,                 1.9669,                 2.2927,                 2.3248,               0.007624,               0.007624,               0.007624
                    123,                 1.8965,                 2.6591,                 1.9797,                0.64503,                 0.5122,                0.58932,                 0.2185,                 1.9405,                 2.2447,                 2.2776,              0.0076042,              0.0076042,              0.0076042
                    124,                 1.9418,                 2.5357,                 2.0636,                0.48251,                0.59136,                0.52103,                0.21284,                 1.8656,                  2.082,                 2.2134,              0.0075844,              0.0075844,              0.0075844
                    125,                 1.8379,                 2.5224,                 1.9431,                0.50866,                0.58084,                0.55526,                0.22858,                 2.0095,                 2.1579,                 2.2682,              0.0075646,              0.0075646,              0.0075646
                    126,                 1.9513,                 2.5923,                 2.0371,                0.58857,                 0.5122,                0.56808,                0.22587,                 1.9745,                  2.142,                 2.2409,              0.0075448,              0.0075448,              0.0075448
                    127,                 1.8301,                  2.427,                 1.9397,                0.55187,                0.60976,                0.58497,                0.22488,                 1.9101,                 2.0198,                 2.2613,               0.007525,               0.007525,               0.007525
                    128,                 1.8725,                 2.3784,                 2.0147,                0.48154,                0.58537,                0.53461,                0.25656,                 1.9181,                 2.0787,                 2.2611,              0.0075052,              0.0075052,              0.0075052
                    129,                 1.7212,                 2.3553,                 1.8543,                0.69065,                0.54469,                0.60313,                0.24606,                 1.9541,                  2.131,                  2.295,              0.0074854,              0.0074854,              0.0074854
                    130,                 1.8018,                  2.392,                 1.9337,                0.82295,                0.56098,                0.60181,                0.27535,                 2.0154,                 2.0149,                 2.3348,              0.0074656,              0.0074656,              0.0074656
                    131,                 1.7419,                  2.253,                 1.9028,                0.70657,                0.58735,                0.64961,                0.29903,                 1.7894,                 1.9505,                 2.1469,              0.0074458,              0.0074458,              0.0074458
                    132,                  1.849,                 2.4813,                 1.9994,                0.67184,                0.53659,                0.59947,                0.27149,                 1.9091,                 2.1067,                 2.2956,               0.007426,               0.007426,               0.007426
                    133,                 1.7397,                 2.3341,                 1.9247,                0.66266,                0.58537,                0.60356,                0.29906,                   1.76,                 1.9963,                 2.1442,              0.0074062,              0.0074062,              0.0074062
                    134,                 1.7388,                 2.1499,                 1.8542,                 0.6855,                0.63803,                0.62935,                0.31047,                 1.8847,                 1.9363,                 2.1873,              0.0073864,              0.0073864,              0.0073864
                    135,                 1.7965,                 2.3872,                 1.9315,                0.73922,                0.53659,                0.62876,                0.32313,                 1.8316,                 1.9419,                 2.1615,              0.0073666,              0.0073666,              0.0073666
                    136,                 1.7879,                 2.2488,                 1.8706,                0.88298,                0.53659,                0.62792,                0.27154,                 1.9702,                 1.9908,                  2.268,              0.0073468,              0.0073468,              0.0073468
                    137,                 1.7955,                 2.1921,                 1.9726,                0.67944,                0.65854,                0.61655,                0.28166,                 1.7918,                 1.9504,                 2.1533,               0.007327,               0.007327,               0.007327
                    138,                  1.857,                 2.2659,                 1.9162,                0.65462,                 0.5086,                0.54225,                0.25167,                  1.862,                 2.0872,                  2.145,              0.0073072,              0.0073072,              0.0073072
                    139,                 1.7216,                 2.1575,                 1.7759,                0.75448,                0.60976,                0.66907,                0.29208,                 1.8819,                 2.1115,                 2.1999,              0.0072874,              0.0072874,              0.0072874
                    140,                 1.8394,                 2.2858,                 1.8985,                0.63708,                0.56098,                0.61652,                0.26798,                 1.8222,                 1.9933,                 2.1898,              0.0072676,              0.0072676,              0.0072676
                    141,                 1.6172,                  2.244,                 1.7329,                0.57999,                0.68293,                0.57994,                0.25223,                 1.8133,                 2.2701,                 2.2271,              0.0072478,              0.0072478,              0.0072478
                    142,                 1.7903,                 2.1408,                 1.8867,                0.67666,                0.63415,                0.63735,                0.31166,                 1.8114,                 1.8365,                 2.1572,               0.007228,               0.007228,               0.007228
                    143,                 1.7197,                  2.329,                 1.8414,                0.65386,                0.53659,                0.56521,                0.27078,                 1.8889,                 1.9953,                 2.2025,              0.0072082,              0.0072082,              0.0072082
                    144,                 1.6824,                 2.1367,                 1.7972,                0.63978,                0.53659,                0.57837,                0.28493,                  1.915,                 1.9122,                 2.2484,              0.0071884,              0.0071884,              0.0071884
