                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.3483,                 0.9649,                 1.2466,                0.88726,                0.83871,                0.88064,                0.50372,                 1.7902,                0.92093,                 1.6998,              0.0099683,              0.0099683,              0.0099683
                     35,                 1.3403,                0.96553,                 1.2472,                0.89161,                0.79629,                0.84346,                0.49808,                 1.7356,                 1.1195,                 1.5848,              0.0099673,              0.0099673,              0.0099673
                     36,                 1.3256,                0.97146,                 1.2201,                0.85384,                0.75403,                0.83991,                0.50357,                 1.7413,                0.96049,                 1.6315,              0.0099663,              0.0099663,              0.0099663
                     37,                 1.3319,                0.91866,                 1.2243,                0.86223,                0.83871,                0.88358,                0.51261,                 1.7417,                0.97746,                 1.5742,              0.0099654,              0.0099654,              0.0099654
                     38,                 1.2892,                0.92905,                 1.2037,                0.86064,                0.77419,                0.87402,                0.54536,                 1.6856,                 1.0162,                 1.5553,              0.0099644,              0.0099644,              0.0099644
                     39,                 1.3072,                0.91028,                 1.2167,                0.90192,                0.74194,                0.80196,                0.50423,                 1.8571,                 1.0498,                  1.717,              0.0099634,              0.0099634,              0.0099634
                     40,                 1.2742,                0.88891,                 1.2252,                0.88885,                 0.7739,                0.77925,                0.51669,                 1.7609,                  1.075,                 1.5946,              0.0099624,              0.0099624,              0.0099624
                     41,                 1.2787,                0.91287,                 1.2236,                0.91478,                0.77419,                0.86188,                0.54552,                 1.5524,                0.91657,                 1.4486,              0.0099614,              0.0099614,              0.0099614
                     42,                  1.312,                0.93752,                 1.2149,                0.78882,                0.77419,                 0.7292,                0.42923,                 1.7984,                 1.2122,                 1.6804,              0.0099604,              0.0099604,              0.0099604
                     43,                 1.2673,                0.88028,                 1.1952,                0.88095,                0.80645,                0.80855,                0.43449,                 1.8394,                 0.9365,                  1.601,              0.0099594,              0.0099594,              0.0099594
                     44,                  1.325,                0.90803,                 1.2176,                0.92879,                0.90323,                0.92117,                0.48326,                 1.7835,                 1.0271,                 1.6553,              0.0099584,              0.0099584,              0.0099584
                     45,                 1.2132,                0.84799,                 1.1846,                0.83315,                0.80645,                0.83913,                0.52446,                 1.6467,                0.96486,                 1.4902,              0.0099574,              0.0099574,              0.0099574
                     46,                 1.2145,                0.85938,                 1.1668,                0.78697,                0.83427,                0.79322,                0.48848,                 1.6773,                0.92709,                 1.5096,              0.0099564,              0.0099564,              0.0099564
                     47,                 1.2916,                 0.9253,                 1.1853,                0.80295,                0.80645,                0.81206,                 0.5139,                 1.7136,                 1.0267,                 1.6163,              0.0099555,              0.0099555,              0.0099555
                     48,                 1.2719,                0.89022,                 1.2255,                0.87074,                0.70968,                 0.8434,                0.53066,                 1.6804,                0.93581,                  1.509,              0.0099545,              0.0099545,              0.0099545
                     49,                 1.1813,                0.80523,                 1.1982,                0.81668,                0.71878,                0.80104,                 0.4751,                  1.723,                 1.0519,                 1.5404,              0.0099535,              0.0099535,              0.0099535
                     50,                 1.2243,                0.85563,                 1.1988,                0.88426,                0.73942,                  0.862,                0.52768,                 1.6848,                0.96219,                 1.4792,              0.0099525,              0.0099525,              0.0099525
                     51,                 1.2199,                0.86125,                  1.169,                0.91791,                0.80645,                0.87516,                 0.5087,                 1.7134,                0.98138,                 1.4818,              0.0099515,              0.0099515,              0.0099515
                     52,                 1.2511,                0.87998,                 1.1994,                0.87189,                0.80645,                0.81165,                0.48585,                 1.6833,                0.99942,                  1.517,              0.0099505,              0.0099505,              0.0099505
                     53,                 1.2219,                0.87551,                 1.1575,                0.94341,                0.80645,                 0.8677,                0.53777,                 1.6677,                 1.0438,                 1.5865,              0.0099495,              0.0099495,              0.0099495
                     54,                 1.1775,                0.84166,                 1.1535,                0.88809,                0.80645,                0.85046,                0.54042,                 1.6454,                  0.874,                 1.4633,              0.0099485,              0.0099485,              0.0099485
                     55,                 1.2767,                0.91303,                 1.2056,                0.70296,                0.77419,                0.69476,                0.37087,                 1.9062,                 1.0103,                 1.7326,              0.0099475,              0.0099475,              0.0099475
                     56,                  1.206,                0.85215,                 1.1606,                0.89611,                0.83485,                0.86976,                0.54596,                 1.5494,                 1.0004,                 1.4698,              0.0099465,              0.0099465,              0.0099465
                     57,                 1.1389,                0.76207,                 1.1139,                0.92625,                0.81041,                0.88861,                0.57823,                 1.5348,                0.82503,                   1.49,              0.0099456,              0.0099456,              0.0099456
                     58,                 1.1648,                 0.7924,                 1.1405,                0.89936,                0.86501,                0.90267,                0.53335,                 1.6106,                0.77774,                 1.4943,              0.0099446,              0.0099446,              0.0099446
                     59,                  1.136,                 0.7917,                 1.1382,                0.95624,                0.70513,                 0.7881,                0.44209,                 1.8822,                 1.2624,                 1.6637,              0.0099436,              0.0099436,              0.0099436
                     60,                  1.148,                0.83351,                 1.1255,                0.89971,                0.86829,                0.89752,                0.54135,                  1.661,                0.85399,                 1.5217,              0.0099426,              0.0099426,              0.0099426
                     61,                 1.1614,                0.82726,                 1.1445,                0.94967,                0.74194,                0.84949,                0.51015,                 1.6532,                0.96667,                 1.4797,              0.0099416,              0.0099416,              0.0099416
                     62,                 1.1728,                0.79736,                  1.143,                0.93386,                0.77419,                0.89289,                 0.5494,                 1.6096,                0.94227,                 1.4111,              0.0099406,              0.0099406,              0.0099406
                     63,                 1.1152,                0.80685,                 1.1407,                 0.8994,                0.74194,                0.79684,                0.48927,                 1.6135,                 0.9409,                 1.4662,              0.0099396,              0.0099396,              0.0099396
                     64,                 1.1433,                0.73847,                 1.1682,                0.92191,                0.87097,                0.89004,                0.50381,                 1.6433,                0.80283,                 1.5488,              0.0099386,              0.0099386,              0.0099386
                     65,                 1.0925,                0.81417,                 1.1398,                0.81921,                0.80645,                0.85343,                0.56083,                 1.5956,                0.83049,                 1.5338,              0.0099376,              0.0099376,              0.0099376
                     66,                 1.0957,                0.75641,                 1.0946,                 0.8795,                0.77419,                 0.8458,                0.52007,                  1.636,                0.99627,                 1.4036,              0.0099366,              0.0099366,              0.0099366
                     67,                 1.1788,                0.79653,                 1.1346,                0.88927,                0.80645,                0.84315,                0.56825,                 1.5513,                0.92699,                 1.4066,              0.0099357,              0.0099357,              0.0099357
                     68,                 1.1507,                0.77951,                 1.1533,                0.96248,                0.83871,                0.87543,                0.53922,                  1.599,                 1.0237,                 1.4101,              0.0099347,              0.0099347,              0.0099347
                     69,                 1.1195,                0.83288,                 1.1161,                0.92249,                0.76806,                0.85053,                0.44633,                 1.7722,                 1.0588,                 1.5494,              0.0099337,              0.0099337,              0.0099337
                     70,                  1.143,                0.77984,                 1.1508,                0.99241,                0.77419,                0.93271,                0.50453,                 1.6992,                0.83061,                 1.5458,              0.0099327,              0.0099327,              0.0099327
                     71,                 1.1272,                0.78085,                 1.1097,                0.92994,                0.85659,                0.93033,                0.55268,                 1.6178,                0.81581,                 1.5107,              0.0099317,              0.0099317,              0.0099317
                     72,                 1.0768,                0.75948,                 1.0919,                0.96427,                0.87061,                0.91448,                0.55904,                  1.594,                0.78799,                 1.5037,              0.0099307,              0.0099307,              0.0099307
                     73,                 1.0611,                0.69997,                 1.0827,                0.89901,                 0.8617,                0.89785,                0.53545,                  1.634,                0.88646,                 1.5816,              0.0099297,              0.0099297,              0.0099297
                     74,                 1.0649,                0.73035,                 1.1129,                0.91157,                0.83871,                0.87869,                0.54184,                 1.5898,                 0.8862,                 1.5126,              0.0099287,              0.0099287,              0.0099287
                     75,                 1.0857,                0.72309,                 1.1162,                0.83264,                0.77419,                0.85157,                0.51785,                 1.7282,                0.84881,                 1.6151,              0.0099277,              0.0099277,              0.0099277
                     76,                 1.0907,                0.75969,                 1.1042,                0.95524,                0.83871,                 0.9135,                0.51621,                 1.6393,                0.86212,                  1.519,              0.0099267,              0.0099267,              0.0099267
                     77,                 1.1021,                0.76535,                  1.123,                0.92044,                0.77419,                0.89838,                0.55062,                 1.5796,                0.98416,                 1.4635,              0.0099258,              0.0099258,              0.0099258
                     78,                 1.0762,                0.74441,                 1.1033,                0.79193,                0.70968,                0.77899,                0.43573,                 1.8246,                 1.2041,                 1.5637,              0.0099248,              0.0099248,              0.0099248
                     79,                 1.0086,                0.69859,                 1.0678,                0.92488,                0.83871,                0.92697,                0.55878,                 1.6246,                0.90175,                 1.5417,              0.0099238,              0.0099238,              0.0099238
                     80,                 1.0042,                0.68443,                 1.0648,                0.89055,                0.83871,                0.87762,                0.57541,                 1.5202,                0.79322,                 1.3681,              0.0099228,              0.0099228,              0.0099228
                     81,                 1.1058,                 0.7838,                 1.1146,                0.93283,                0.89619,                0.93839,                0.54004,                 1.4748,                0.82342,                 1.3841,              0.0099218,              0.0099218,              0.0099218
                     82,                 1.0438,                0.74148,                 1.0831,                0.85583,                0.95765,                0.94014,                0.58022,                 1.4914,                0.82092,                  1.537,              0.0099208,              0.0099208,              0.0099208
                     83,                   1.03,                0.68396,                 1.0715,                0.78108,                0.83871,                0.81109,                0.49181,                 1.7308,                0.86429,                 1.6767,              0.0099198,              0.0099198,              0.0099198
                     84,                 1.0464,                0.69269,                 1.0814,                0.86406,                0.90323,                0.92726,                0.59079,                 1.4769,                0.79979,                 1.4374,              0.0099188,              0.0099188,              0.0099188
                     85,                 1.0393,                0.72306,                 1.0915,                0.89265,                0.83871,                0.88803,                0.56265,                 1.6245,                0.81273,                 1.5964,              0.0099178,              0.0099178,              0.0099178
                     86,                 0.9975,                0.67542,                 1.0667,                0.91938,                0.80645,                0.84451,                0.52916,                 1.7361,                0.88298,                 1.5528,              0.0099168,              0.0099168,              0.0099168
                     87,                 1.0233,                0.70346,                 1.0496,                 0.7838,                0.87097,                0.84016,                 0.5169,                 1.6208,                0.81701,                 1.4878,              0.0099159,              0.0099159,              0.0099159
                     88,                  1.012,                0.70366,                  1.086,                0.83905,                0.84092,                0.84847,                0.52117,                 1.6894,                0.84194,                 1.5114,              0.0099149,              0.0099149,              0.0099149
                     89,                  1.027,                0.70618,                 1.0548,                0.80972,                0.83871,                0.87509,                0.52675,                 1.7196,                0.82113,                  1.545,              0.0099139,              0.0099139,              0.0099139
                     90,                 1.0004,                0.69884,                 1.0437,                0.90264,                0.90323,                0.92346,                0.52005,                 1.6102,                0.80011,                 1.4184,              0.0099129,              0.0099129,              0.0099129
                     91,                  1.011,                0.66578,                 1.0875,                0.93082,                0.86811,                0.93891,                0.55064,                 1.5786,                0.82665,                 1.4175,              0.0099119,              0.0099119,              0.0099119
                     92,                 1.0675,                0.72095,                 1.1054,                0.92129,                0.83871,                 0.9044,                0.54002,                 1.7113,                0.76473,                  1.391,              0.0099109,              0.0099109,              0.0099109
                     93,                0.99355,                 0.6802,                 1.0688,                0.90674,                0.87097,                0.88031,                0.55943,                 1.7534,                0.82385,                 1.6539,              0.0099099,              0.0099099,              0.0099099
                     94,                0.98413,                0.68241,                 1.0578,                0.83401,                0.77419,                0.80713,                 0.5187,                 1.6921,                0.85523,                 1.6041,              0.0099089,              0.0099089,              0.0099089
                     95,                0.99782,                0.65832,                 1.0725,                 0.8813,                0.77419,                0.85716,                0.57997,                 1.5312,                0.79285,                 1.3843,              0.0099079,              0.0099079,              0.0099079
                     96,                0.98682,                0.69777,                 1.0229,                0.87749,                0.80645,                0.85907,                0.44543,                 1.9531,                 1.0718,                 1.6918,              0.0099069,              0.0099069,              0.0099069
                     97,                0.99262,                 0.6405,                  1.057,                 0.8866,                0.80645,                 0.8431,                0.45864,                 1.8838,                0.91351,                 1.6662,               0.009906,               0.009906,               0.009906
                     98,                 1.0122,                0.68229,                 1.0705,                0.88105,                0.74194,                0.81444,                0.49358,                 1.7595,                 0.8388,                  1.511,               0.009905,               0.009905,               0.009905
                     99,                0.97523,                0.67253,                 1.0791,                0.92307,                0.90323,                0.94034,                0.53707,                 1.5964,                0.72121,                 1.3997,               0.009904,               0.009904,               0.009904
                    100,                 0.9983,                0.64563,                  1.082,                0.91247,                0.77419,                0.86893,                0.52438,                    1.7,                0.92289,                 1.4849,               0.009903,               0.009903,               0.009903
                    101,                 1.0153,                0.72568,                 1.0796,                0.82229,                0.77419,                0.86536,                0.53916,                 1.7182,                0.78979,                 1.6101,               0.009902,               0.009902,               0.009902
                    102,                0.95425,                0.66143,                 1.0513,                0.88335,                0.80645,                0.78847,                0.49122,                 1.6082,                0.89127,                 1.5668,               0.009901,               0.009901,               0.009901
                    103,                 1.0011,                0.73862,                 1.0678,                0.89643,                0.83767,                0.90888,                0.53578,                 1.6608,                0.82237,                 1.5297,                 0.0099,                 0.0099,                 0.0099
                    104,                0.97138,                0.65821,                 1.0382,                0.87812,                0.87097,                0.89719,                0.54778,                 1.5287,                0.70234,                 1.4446,               0.009899,               0.009899,               0.009899
